godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
335,1057,-26.1,4
110,793,-9.4,3
353,1168,-31.2,66
168,1637,19.9,88
459,1201,13.1,2
655,1520,22.4,10
428,1329,38.3,41
701,1758,22.7,7
515,1112,36.7,14
195,1325,34,87
271,1089,5,1
273,1631,-18,99
578,1080,33.4,11
315,1788,-13.5,39
700,638,-0.6,14
140,1355,3.2,41
734,1205,-25.7,93
637,894,31,24
135,1105,-21.8,96
783,1187,21.4,39
193,1254,-19.4,73
453,1201,-1.2,7
529,1342,1.6,97
501,1505,34.5,61
540,1556,-13.1,23
794,1449,6.4,58
245,798,-25.8,6
298,1310,14.2,74
541,983,-6.4,60
554,1173,-1.9,32
646,863,1,20
484,1117,-13.5,4
903,1369,3.3,53
284,971,23.7,78
454,1686,17,18
408,648,-6.5,39
400,1157,7.6,69
299,1498,38.6,49
877,1417,13.8,81
948,893,29.8,84
183,1725,-25.2,88
792,857,30.7,97
959,1498,24.7,76
827,602,30.4,49
798,1602,-2.1,23
888,1512,26.3,98
239,1208,-4.7,58
106,1320,13.5,82
374,729,-38,60
929,1204,-23.9,99
379,1630,32.6,30
217,1254,-1,9
269,1541,19.3,4
380,1738,-38.9,100
433,641,-11.1,7
320,832,4.3,92
236,1676,-39.9,42
711,1624,1.2,84
464,916,5,87
624,1617,-18.7,47
151,1736,-20.1,13
435,1531,39.7,50
401,754,-0.1,3
735,613,18.2,70
302,831,-20,2
314,1734,-36.1,11
607,664,-3.4,55
607,1667,-7.9,11
425,771,-16.9,60
699,1146,-13.5,54
143,651,32.4,87
987,917,-29.4,45
363,1285,1.2,26
241,603,27.2,71
706,1121,-11.6,74
435,1702,-26,42
606,658,-35.6,95
136,1457,-6.7,99
576,1164,15,34
449,1326,-9.7,18
742,1476,1.6,27
881,779,40.4,88
353,772,5.3,99
317,1260,4.9,98
614,1794,-13,35
785,1704,-8.1,20
524,779,-23.8,51
368,863,-3.6,37
748,1063,-27.5,23
847,1610,-1.2,7
277,735,-8.6,83
773,931,36,39
435,1037,14.8,58
149,1255,-31.1,77
923,1263,13.8,5
428,1239,-11.9,38
344,1760,-38.7,46
791,803,-32.2,90
772,1489,-34.4,44
651,927,-24.4,69
101,1599,-25.4,8
835,1310,24.3,38
409,1076,24.4,39
331,1624,23.1,20
482,752,-31.3,58
744,677,-5.3,53
927,728,-9,7
291,666,-6.5,23
762,1243,36.1,20
824,1229,-3.1,83
542,648,30.8,21
694,1031,31.5,78
954,1502,21.8,93
917,1315,-5.6,54
725,1448,-28,21
443,1152,-24.4,39
515,1610,-28.2,59
136,1370,29.6,40
200,1224,-0.7,74
361,1428,-24.1,83
428,1275,-18,28
958,1688,34.2,14
697,1431,-29.7,44
580,1574,26.7,72
971,627,18.8,94
614,855,40.5,72
195,1075,26.1,21
771,1317,-7.6,48
372,1411,-0.1,19
574,1787,36.9,87
620,1197,-34.8,57
519,685,-1.9,31
705,1549,6.4,65
165,1482,34.1,1
677,887,26.5,65
606,1391,-20.1,21
297,1679,-24.5,91
720,901,-32.4,49
360,634,-1.5,18
187,1735,-26.9,72
881,1788,-18.6,16
730,1398,-13.8,29
907,1278,-16,30
775,1580,-29.9,19
240,1528,-21.6,75
720,1590,-14.9,69
488,1563,15.5,58
477,1267,4.6,31
660,1401,25.4,22
444,1646,-27.2,79
908,1754,-1.1,25
563,1376,-29,52
463,833,37.8,89
571,1673,4.6,79
721,1424,3.2,34
926,1531,-35.3,18
469,1793,-10.9,64
800,1473,13,94
489,1285,-31.8,73
768,612,29.7,97
568,814,-8.7,89
396,909,-34.1,60
248,1026,-34.5,78
653,1233,18.8,62
681,1127,1.8,91
218,1221,6.1,66
120,1338,33,51
466,1651,-28.2,31
987,1260,-29,23
769,1799,-1.1,27
315,942,4.9,12
875,1743,-34.3,98
697,1732,19.1,87
563,900,-17.7,17
549,1065,-4.5,24
420,1394,28.4,15
919,1142,31.9,93
699,1631,-14.4,92
349,1004,4.8,49
534,1216,-1.3,78
167,1057,-3.1,61
289,603,4.9,19
754,956,0,1
179,1301,2.8,71
375,958,22,53
949,1290,-11.8,20
162,1143,-39.1,32
136,1273,31.1,68
279,972,22.1,74
608,1538,0.9,65
521,744,-39.5,2
658,725,5.6,41
360,1091,-29.6,75
235,630,6.1,96
694,1563,-5.1,13
756,728,34.9,91
902,1637,22.9,54
277,1456,-12.2,17
