Plik,Czas[s],Sciezka;;;;
;n;;t[ms];
"6_1.txt,0.0003494119644165039,""[0, 1, 2, 3, 4, 5, 0]""";6;0,000349412;0,349411964;720
;10;0,063992569;63,99256945;3628800
"10.txt,0.06399256944656372,""[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]""";12;3,875585866;3875,585866;479001600
;13;16,21971145;16219,71145;6227020800
"12.txt,3.8755858659744264,""[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]""";14;96,14640117;96146,40117;87178291200
;15;690,3524101;690352,4101;1,30767E+12
"13.txt,16.219711446762084,""[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]""";;;;1
;;;;
"14.txt,96.1464011669159,""[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]""";;;;
;;;;
"15.txt,690.3524100780487,""[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0]""";;;;
