Plik;Czas[s];Koszt;Sciezka
6_1.txt;0.6656296253204346;132;[1, 2, 3, 4, 5, 0]
6_1.txt;0.6806097030639648;132;[1, 2, 3, 4, 5, 0]
6_1.txt;0.6836075782775879;132;[1, 2, 3, 4, 5, 0]
6_1.txt;0.6556248664855957;132;[1, 2, 3, 4, 5, 0]
6_1.txt;0.6496140956878662;132;[1, 2, 3, 4, 5, 0]

10.txt;1.2932727336883545;212;[3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
10.txt;1.3139348030090332;212;[5, 1, 9, 6, 7, 8, 2, 4, 3, 0]
10.txt;1.2942447662353516;212;[3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
10.txt;1.3052515983581543;212;[3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
10.txt;1.2922587394714355;212;[3, 4, 2, 8, 7, 6, 9, 1, 5, 0]

12.txt;1.680048942565918;264;[1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
12.txt;1.6610653400421143;264;[1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
12.txt;1.680018663406372;264;[10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0]
12.txt;1.6632699966430664;264;[1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
12.txt;1.6790368556976318;264;[10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0]

13.txt;1.862945556640625;269;[12, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
13.txt;1.880908727645874;269;[12, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
13.txt;1.8719398975372314;269;[12, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
13.txt;1.9288806915283203;269;[10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
13.txt;1.8769230842590332;269;[10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]

